id_text,text_name,l_no,text
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 1,ana[to]PRP ikkaru[farmer]N bēlu[lord]N
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 2,ardu[slave]N Issar-šumu-ereš[1]PN
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 3,lū[may]MOD šulmu[completeness]N ana[to]PRP ikkaru[farmer]N bēlu[lord]N
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 4,Nabu[1]DN u[and]CNJ Marduk[1]DN
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 5,ana[to]PRP ikkaru[farmer]N bēlu[lord]N karābu[pray]V
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 6,ina[in]PRP muhhu[skull]N maṣṣartu[observation]N
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 7,ša[that]REL ikkaru[farmer]N bēlu[lord]N
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 8,šapāru[send]V
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],o 9,mā[saying]PRP
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 1',mā[saying]PRP šumma[if]MOD šakānu[put]V
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 2',mīnu[what?]QP awātu[word]N
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 3',ūmu[day]N Elamtu[Elam]GN
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 4',Simanu[Sivan]MN Mat-Amurri[Westland]GN
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 5',purussû[decision]N ana[to]PRP Uru[Ur]GN
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 6',u[and]CNJ šumma[if]MOD šakānu[put]V
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 7',qaqqaru[ground]N bīt[where]SBJ lapātu[touch]V
saao/saa10/P333990,SAA 10 026. If the Eclipse Takes Place What Does it Mean? (ABL 0038) [from astrologers],r 8',u[and]CNJ šāru[wind]N āliku[going]AJ
