id_text,text_name,version,l_no,text
c.5.3.2,The debate between Grain and Sheep,,1,sux:hur-saŋ[mountain-(range)]N sux:an[heaven]N sux:ki[place]N
c.5.3.2,The debate between Grain and Sheep,,2,sux:ud[day(light)]N sux:An[1]DN sux:Anuna[1]DN sux:tud[to-give-birth]V
c.5.3.2,The debate between Grain and Sheep,,3,sux:mu[name]N sux:Ezina[1]DN sux:tud[to-give-birth]V sux:sig₇[to-be-green]V
c.5.3.2,The debate between Grain and Sheep,,4,sux:kalam[the-Land]N sux:gu[(flax)-thread]N sux:Uttu[1]DN sux:dim₂[to-create]V
c.5.3.2,The debate between Grain and Sheep,,5,sux:Uttu[1]DN sux:temen[foundation]N sux:sig₉[to-put]V
c.5.3.2,The debate between Grain and Sheep,,6,sux:u₈[ewe]N sux:e₃[to-go-out-or-in]V sux:sila₄[lamb]N sux:šar₂[to-be-numerous]V
c.5.3.2,The debate between Grain and Sheep,,7,sux:ud₅[(nanny)-goat]N sux:me[to-be]V sux:maš₂[(kid)-goat]N sux:šar₂[to-be-numerous]V
c.5.3.2,The debate between Grain and Sheep,,8,sux:u₈[ewe]N sux:sila₄[lamb]N sux:2[2]NU sux:tud[to-give-birth]V
c.5.3.2,The debate between Grain and Sheep,,9,sux:ud₅[(nanny)-goat]N sux:maš₂[(kid)-goat]N sux:3[3]NU sux:tud[to-give-birth]V
c.5.3.2,The debate between Grain and Sheep,,10,sux:mu[name]N sux:Ezina-Kusu[1]DN sux:U[1]DN
c.5.3.2,The debate between Grain and Sheep,,11,sux:Anuna[1]DN sux:diŋir[deity]N sux:gal[to-be-big]V sux:zu[to-know]V
c.5.3.2,The debate between Grain and Sheep,,12,sux:še[barley]N sux:muš₅[type-of-cereal]N sux:ud[day(light)]N sux:30[30]NU sux:ŋal₂[to-be-(located)]V
c.5.3.2,The debate between Grain and Sheep,,13,sux:še[barley]N sux:muš₅[type-of-cereal]N sux:ud[day(light)]N sux:40[40]NU sux:ŋal₂[to-be-(located)]V
c.5.3.2,The debate between Grain and Sheep,,14,sux:še[barley]N sux:muš₅[type-of-cereal]N sux:ud[day(light)]N sux:50[50]NU sux:ŋal₂[to-be-(located)]V
c.5.3.2,The debate between Grain and Sheep,,15,sux:še[barley]N sux:di₄-di₄[to-be-small]V sux:še[barley]N sux:kur[(mountain)-land]N sux:še[barley]N sux:a₂-dam[habitation]N sux:kug[shining]AJ sux:ŋal₂[to-be-(located)]V
