id_text,text_name,version,l_no,text
etcsri/X000105,Gudea 105add,,o 1,sux:Nanše[1]DN
etcsri/X000105,Gudea 105add,,o 2,sux:nin[lady]N sux:urun[exalted]V/i
etcsri/X000105,Gudea 105add,,o 3,sux:nin[lady]N sux:induba[boundary]N
etcsri/X000105,Gudea 105add,,o 4,sux:nin[lady]N
etcsri/X000105,Gudea 105add,,o 5,sux:Gudea[1]RN
etcsri/X000105,Gudea 105add,,o 6,sux:ensik[ruler]N
etcsri/X000105,Gudea 105add,,o 7,sux:Lagaš[1]SN
etcsri/X000105,Gudea 105add,,o 8,sux:niŋdu[appropriate-thing]N sux:pa[branch]N sux:e[leave]V/i
etcsri/X000105,Gudea 105add,,o 9,sux:Niŋin[1]SN sux:iri[city]N sux:ki[place]N sux:aŋ[measure]V/t
etcsri/X000105,Gudea 105add,,r 1,sux:ki[place]N sux:gi[turn]V/i
etcsri/X000105,Gudea 105add,,r 2,sux:Esirara[1]TN
etcsri/X000105,Gudea 105add,,r 3,sux:kur[mountain]N sux:e[house]N sux:il[raise]V/t
etcsri/X000105,Gudea 105add,,r 4,sux:du[build]V/t
etcsri/X000105,Gudea 105add,,r 5-6,sux:šag[heart]N sux:giguna[terrace]N sux:ki[place]N sux:aŋ[measure]V/t
etcsri/X000105,Gudea 105add,,r 7,sux:eren[cedar]N
