id_text,text_name,l_no,text
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 1,akk-x-stdbab:ana[to]PRP akk-x-stdbab:lemnu[bad]AJ akk-x-stdbab:ša[that]REL akk-x-stdbab:ina[in]PRP
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 2,akk-x-stdbab:paṭāru[loosen]V akk-x-stdbab:qarnānû[horned]AJ akk-x-stdbab:u[and]CNJ
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 3,akk-x-stdbab:ina[in]PRP akk-x-stdbab:šuāti[him]IP akk-x-stdbab:sarāqu[strew]V akk-x-stdbab:ina[in]PRP
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 4,akk-x-stdbab:ša[of]DET akk-x-stdbab:ešēru[go-well]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 5,akk-x-stdbab:tabāku[pour-(out)]V akk-x-stdbab:warki[behind]PRP akk-x-stdbab:nadû[throw]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 6,akk-x-stdbab:ana[to]PRP akk-x-stdbab:lemnu[bad]AJ akk-x-stdbab:ša[that]REL akk-x-stdbab:ina[in]PRP akk-x-stdbab:paṭāru[loosen]V akk-x-stdbab:ina[in]PRP akk-x-stdbab:mašālu[equal]V akk-x-stdbab:tebû[arise]V akk-x-stdbab:ešēru[go-well]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 7,akk-x-stdbab:ana[to]PRP akk-x-stdbab:kamāsu[gather-in]V akk-x-stdbab:qalû[roast]V akk-x-stdbab:ana[to]PRP akk-x-stdbab:nadû[throw]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 8,akk-x-stdbab:ana[to]PRP akk-x-stdbab:ana[to]PRP akk-x-stdbab:lā[not]MOD akk-x-stdbab:ṭehû[approach]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 9,akk-x-stdbab:ina[in]PRP akk-x-stdbab:šakānu[put]V akk-x-stdbab:ul[not]MOD akk-x-stdbab:ṭehû[approach]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 10,akk-x-stdbab:ina[in]PRP akk-x-stdbab:pašāšu[anoint]V akk-x-stdbab:ul[not]MOD
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 11,akk-x-stdbab:ana[to]PRP akk-x-stdbab:lemnu[bad]AJ akk-x-stdbab:ana[to]PRP akk-x-stdbab:u[and]CNJ akk-x-stdbab:lā[not]MOD akk-x-stdbab:ṭehû[approach]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 12,akk-x-stdbab:ina[in]PRP akk-x-stdbab:balālu[mix-(up)]V akk-x-stdbab:ina[in]PRP
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 13,akk-x-stdbab:u[and]CNJ akk-x-stdbab:lapātu[touch]V akk-x-stdbab:lemnu[bad]AJ akk-x-stdbab:ana[to]PRP akk-x-stdbab:u[and]CNJ akk-x-stdbab:ul[not]MOD akk-x-stdbab:ṭehû[approach]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 14,akk-x-stdbab:ana[to]PRP akk-x-stdbab:lemnu[bad]AJ akk-x-stdbab:ana[to]PRP akk-x-stdbab:u[and]CNJ akk-x-stdbab:lā[not]MOD akk-x-stdbab:ṭehû[approach]V akk-x-stdbab:lū[either]CNJ akk-x-stdbab:ana[to]PRP akk-x-stdbab:lū[either]CNJ akk-x-stdbab:ana[to]PRP akk-x-stdbab:nadû[throw]V
cams/gkab/P348623,SpTU 2 018 [Namburbu],o 15,akk-x-stdbab:u[and]CNJ akk-x-stdbab:imna[on-the-right]AV akk-x-stdbab:u[and]CNJ akk-x-stdbab:šumēla[on-the-left]AV akk-x-stdbab:ina[in]PRP akk-x-stdbab:šakānu[put]V
